Index,Time,Compute Time,Acc. S,Acc. T,Acc. N,Average Current,Max Current,V_emf,V_float,Magnetic Field North,Magnetic Field East,Magnetic Field T,Magnetic Field N
1,2026-Jan-01 00:00:00.000,0.35711198600006355,-0.0,2.8199102469362207e-09,4.842457054732352e-10,0.0001129724242051931,[0.],[-9.41854318],[-0.5698741],24961.05000035798,4286.402009661504,4286.406252500115,-24961.049271761978
2,2026-Jan-01 00:00:05.000,0.02286099100001593,-0.0,8.333656748256894e-12,-2.6259076157350653e-11,-1.088530602092565e-06,[-0.],[2.88878926],[-0.57091264],24946.746796302763,4267.489218445454,24123.41564570701,7655.877319605414
3,2026-Jan-01 00:00:10.000,0.02367653600003905,-0.0,8.283959296995456e-12,-2.6159184718268194e-11,-1.0849641221288865e-06,[-0.],[2.88100144],[-0.57202568],24931.310418362704,4248.50791122642,24110.64493721633,7635.238002839117
4,2026-Jan-01 00:00:15.000,0.02224023999997371,-0.0,8.23603893276926e-12,-2.6063421097502502e-11,-1.0816167538631446e-06,[-0.],[2.87320015],[-0.57320988],24914.763204307157,4229.454267483955,24096.724652621524,7614.563017217608
5,2026-Jan-01 00:00:20.000,0.023218048999979146,-0.0,8.189521109456273e-12,-2.5970670558703145e-11,-1.078441054033314e-06,[-0.],[2.86538505],[-0.57445887],24897.127912246706,4210.3244423545775,24081.678327780803,7593.851401361146
6,2026-Jan-01 00:00:25.000,0.025271593999832476,-0.0,8.144128421107811e-12,-2.588011625434012e-11,-1.0754018872163029e-06,[-0.],[2.85755577],[-0.57577457],24878.42769398516,4191.114570207895,24065.529884210322,7573.1022215230005
7,2026-Jan-01 00:00:30.000,0.022866644000032466,-0.0,8.099554231902281e-12,-2.5790840486143558e-11,-1.072459866532113e-06,[-0.],[2.84971195],[-0.57715151],24858.68606790352,4171.820768278182,24048.303615817673,7552.314529114132
8,2026-Jan-01 00:00:35.000,0.02308711800014862,-0.0,8.055627267034769e-12,-2.570234874570344e-11,-1.0695931310796148e-06,[-0.],[2.84185329],[-0.57859788],24837.926891422405,4152.439140346999,24030.02412680069,7531.487472160244
9,2026-Jan-01 00:00:40.000,0.021861447999981465,-0.0,8.012137290696307e-12,-2.561401738632412e-11,-1.0667743944757926e-06,[-0.],[2.83397944],[-0.58010653],24816.174333092582,4132.965780472322,24010.71634167852,7510.620176287066
10,2026-Jan-01 00:00:45.000,0.022472715000048993,-0.0,7.968961270563095e-12,-2.5525496285829688e-11,-1.063987698874002e-06,[-0.],[2.82609011],[-0.58168033],24793.45284436183,4113.396776759658,23990.405446268633,7489.711844409945
11,2026-Jan-01 00:00:50.000,0.02200145999995584,-0.0,7.925970899411691e-12,-2.5436415120040118e-11,-1.0612161994928024e-06,[-0.],[2.81818499],[-0.58331047],24769.78713106806,4093.7282151708177,23969.1168794796,7468.761693611377
12,2026-Jan-01 00:00:55.000,0.021958655000162253,-0.0,7.88315470556386e-12,-2.5346775975026666e-11,-1.05845854988237e-06,[-0.],[2.8102638],[-0.58500219],24745.202124706473,4073.956183365427,23946.876311635948,7447.7689338330165
13,2026-Jan-01 00:01:00.000,0.02198814799999127,-0.0,7.840417193010533e-12,-2.525630930262958e-11,-1.0557020528580284e-06,[-0.],[2.80232629],[-0.58674007],24719.7229535215,4054.076774571043,23923.709567727874,7426.732923162097
14,2026-Jan-01 00:01:05.000,0.02226111100003436,-0.0,7.797839978800534e-12,-2.5165314888701962e-11,-1.0529577888270143e-06,[-0.],[2.7943722],[-0.58853342],24693.374913471736,4034.0860914771083,23899.642659689045,7405.652972553875
15,2026-Jan-01 00:01:10.000,0.024265114000172616,-0.0,7.755494895442322e-12,-2.5074062607743157e-11,-1.0502356377307164e-06,[-0.],[2.78640128],[-0.59038032],24666.18343911663,4013.9802501482372,23874.70174019387,7384.528401835527
16,2026-Jan-01 00:01:15.000,0.023453376000134085,-0.0,7.713489586782012e-12,-2.4982939241031342e-11,-1.0475504358075051e-06,[-0.],[2.77841331],[-0.59228485],24638.174074473565,3993.75538395244,23848.91303278703,7363.358672879614
17,2026-Jan-01 00:01:20.000,0.0228177889998733,-0.0,7.671872610845993e-12,-2.4892142056008276e-11,-1.0449091431633155e-06,[-0.],[2.7704081],[-0.59423495],24609.372443893157,3973.4076474997823,23822.302846973675,7342.143248570375
18,2026-Jan-01 00:01:25.000,0.02236907499991503,-0.0,7.630784535380456e-12,-2.4802168098319594e-11,-1.042331367506006e-06,[-0.],[2.76238546],[-0.59623327],24579.80422299965,3952.9332205869982,23794.89754555111,7320.8816056631695
19,2026-Jan-01 00:01:30.000,0.023487254999963625,-0.0,7.590402104996687e-12,-2.471363453847809e-11,-1.0398418846902894e-06,[-0.],[2.75434522],[-0.59828624],24549.49510974319,3932.328312143742,23766.72348204063,7299.573345477849
20,2026-Jan-01 00:01:35.000,0.022396782999976494,-0.0,7.55078804888229e-12,-2.4626790308636594e-11,-1.0374501018083542e-06,[-0.],[2.74628723],[-0.60038372],24518.47079560961,3911.589164176114,23737.80701906552,7278.218042217832
21,2026-Jan-01 00:01:40.000,0.02300285299997995,-0.0,7.512125993199156e-12,-2.4542279943685506e-11,-1.035182188986508e-06,[-0.],[2.73821136],[-0.60253154],24486.756937031783,3890.7120557032185,23708.174468992314,7256.815344315266
22,2026-Jan-01 00:01:45.000,0.02195964800012007,-0.0,7.474478843232209e-12,-2.4460356098587913e-11,-1.0330479317432149e-06,[-0.],[2.73011751],[-0.6047221],24454.379127046668,3869.693306682513,23677.85205988683,7235.364994748513
23,2026-Jan-01 00:01:50.000,0.02194268700009161,-0.0,7.437975958668089e-12,-2.43814900437964e-11,-1.0310664471444874e-06,[-0.],[2.72200558],[-0.6069574],24421.362867240077,3848.5292819197534,23646.865933151374,7213.866748614871
