Index,Time,Compute Time,Acc. S,Acc. T,Acc. N,Average Current,Max Current,V_emf,V_float,Magnetic Field North,Magnetic Field East,Magnetic Field T,Magnetic Field N
1,2026-Jan-01 00:00:00.000,0.04181299000083527,-0.0,1.2987430597030845e-05,2.2302509445387053e-06,0.03468719191417248,[0.],[-141.27814764],[-0.5698741],24961.05000035798,4286.402009661504,4286.406252500115,-24961.049271761978
2,2026-Jan-01 00:00:05.000,0.020029747000080533,-0.0,3.151132104237577e-08,-9.929112747266695e-08,-0.00027439764744488965,[-0.],[43.33183951],[-0.57091264],24946.74679631432,4267.489218439829,24123.415633536893,7655.877357987563
3,2026-Jan-01 00:00:10.000,0.019775273998675402,-0.0,3.1291674973025335e-08,-9.881322090355602e-08,-0.00027322156174960834,[-0.],[43.21502219],[-0.57202568],24931.31041819807,4248.507911046611,24110.64492148014,7635.238051893413
4,2026-Jan-01 00:00:15.000,0.019786889999522828,-0.0,3.107760710690693e-08,-9.834688272199304e-08,-0.0002720892132424145,[-0.],[43.09800292],[-0.57320988],24914.763203907823,4229.454267121209,24096.724636751675,7614.563065930566
5,2026-Jan-01 00:00:20.000,0.019647510998765938,-0.0,3.0867831934491354e-08,-9.788829867786741e-08,-0.0002709896915843107,[-0.],[42.98077633],[-0.57445887],24897.127911554762,4210.324441800134,24081.67831171597,7593.851449730075
6,2026-Jan-01 00:00:25.000,0.021901369000261184,-0.0,3.066127063086078e-08,-9.743427465292649e-08,-0.0002699137872296383,[-0.],[42.863337],[-0.57577457],24878.427692943504,4191.114569453001,24065.529874799366,7573.102247589071
7,2026-Jan-01 00:00:30.000,0.022179264000442345,-0.0,3.04568831405869e-08,-9.698170903103196e-08,-0.00026885253008429783,[-0.],[42.74567981],[-0.57715151],24858.68606645575,4171.820767314078,24048.3036061005,7552.314554757892
8,2026-Jan-01 00:00:35.000,0.021458441000504536,-0.0,3.02538761696701e-08,-9.652825890974457e-08,-0.0002677990345947647,[-0.],[42.62779977],[-0.57859788],24837.926889512873,4152.439139164937,24030.024120092337,7531.487486614845
9,2026-Jan-01 00:00:40.000,0.01989446000152384,-0.0,3.005161086781784e-08,-9.607205324116276e-08,-0.000266747708026649,[-0.],[42.5096921],[-0.58010653],24816.174330666505,4132.9657790635365,24010.71633114459,7510.620201171658
10,2026-Jan-01 00:00:45.000,0.020028642000397667,-0.0,2.984958487547556e-08,-9.561164111000089e-08,-0.000265694109444977,[-0.],[42.3913521],[-0.58168033],24793.452841365335,4113.396775115445,23990.405435215027,7489.711868993507
11,2026-Jan-01 00:00:50.000,0.02016019300026528,-0.0,2.9647501675102774e-08,-9.514621825624006e-08,-0.00026463558303108006,[-0.],[42.27277541],[-0.58331047],24769.787127447995,4093.728213282438,23969.116867922137,7468.761717661334
