Index,Time,Compute Time,Acc. S,Acc. T,Acc. N,Average Current,Max Current,V_emf,V_float,Magnetic Field North,Magnetic Field East,Magnetic Field T,Magnetic Field N
1,2026-Jan-01 00:00:00.000,0.033177363000504556,0.0,-1.4216905529417896e-05,-2.4413810528966868e-06,0.03797090785896634,[0.],[-141.27814764],[-0.5698741],24961.05000035798,4286.402009661504,4286.406252500115,-24961.049271761978
2,2026-Jan-01 00:00:05.000,0.018587491000289447,0.0,-2.4169118353811625e-08,7.615609125084118e-08,-0.00021046243291173965,[-0.],[43.33183825],[-0.57091264],24946.746796290212,4267.489218451635,24123.415660528928,7655.877272864585
3,2026-Jan-01 00:00:10.000,0.019284939000499435,0.0,-2.398512165709376e-08,7.57405013278123e-08,-0.0002094247900323215,[-0.],[43.21502099],[-0.57202568],24931.310418542533,4248.5079114233695,24110.64494517671,7635.237978398522
4,2026-Jan-01 00:00:15.000,0.01838745200075209,0.0,-2.3805536329274088e-08,7.533399574856279e-08,-0.0002084211216459565,[-0.],[43.0980016],[-0.57320988],24914.763204742936,4229.454267881169,24096.724667708142,7614.56297112164
5,2026-Jan-01 00:00:20.000,0.018153091999920434,0.0,-2.3629369520966176e-08,7.49336335146149e-08,-0.00020744299869404292,[-0.],[42.98077514],[-0.57445887],24897.127913001055,4210.324442961562,24081.6783361725,7593.851377559084
6,2026-Jan-01 00:00:25.000,0.01827226200111909,0.0,-2.3455789901263508e-08,7.453695977777718e-08,-0.00020648332587110238,[-0.],[42.86333588],[-0.57577457],24878.427695119855,4191.114571034136,24065.52989636462,7573.102187084372
7,2026-Jan-01 00:00:30.000,0.017522654999993392,0.0,-2.3283996779297966e-08,7.414159280312851e-08,-0.00020553519817947448,[-0.],[42.74567857],[-0.57715151],24858.686069479565,4171.820769333196,24048.30363520434,7552.314473152914
8,2026-Jan-01 00:00:35.000,0.01820229199984169,0.0,-2.311338297997871e-08,7.374574496359686e-08,-0.000204593344072109,[-0.],[42.62779866],[-0.57859788],24837.92689349968,4152.439141640274,24030.02414311358,7531.487427675844
9,2026-Jan-01 00:00:40.000,0.01704332500048622,0.0,-2.294345754360826e-08,7.334798457581618e-08,-0.00020365346734228673,[-0.],[42.50969105],[-0.58010653],24816.17433573004,4132.965782013328,24010.716351660223,7510.620153939069
10,2026-Jan-01 00:00:45.000,0.018647630999112152,0.0,-2.2773837050913387e-08,7.294721034970964e-08,-0.00020271217867103315,[-0.],[42.39135113],[-0.58168033],24793.45284761762,4113.396778557896,23990.405453336658,7489.711833535628
