Index,Time,Distance,Latitude,Longitude,Altitude,x,y,z,"Semi-Major Axis, a","Eccentricity, e","Inclination, i",RAAN,Arg. Peri.,True Anomaly,"Semi-Major Axis, a",f,g,h,k,L
1,2026-Jan-01 00:00:00.000,0.0,0.0,-180.0,620.862999999999,6998999.999999999,0.0,0.0,6999000.0,0.0,97.9,0.0,0.0,0.0,6999000.0,0.0,0.0,1.1483429368947748,0.0,0.0
2,2026-Jan-01 00:00:05.000,6.97685499233846e-05,0.30596103671519476,179.93665366319365,620.8636128763239,6998898.287399254,-5186.1646077394225,37374.67465768518,6998999.84935252,2.1524143389528748e-08,97.89999989411145,0.0,180.0,-179.69110737858517,6998999.84935252,-2.1524143389528748e-08,0.0,1.1483429347521834,0.0,0.005391193278805016
3,2026-Jan-01 00:00:10.000,0.0004454030132842532,0.6119219021841084,179.8733049057396,620.8654514330411,6998593.152557742,-10372.17838139711,74748.26262809632,6998999.854456105,2.079496649538522e-08,97.89999982828967,-3.5826145466574064e-10,179.9891685488206,-179.37138330936435,6998999.854456105,-2.0794966123801834e-08,3.9311738559865875e-12,1.1483429334203192,-7.180406886485433e-12,0.010782386492480738
4,2026-Jan-01 00:00:15.000,0.000867568218940026,0.9178824317706508,179.8099513051613,620.8685154533749,6998084.604344101,-15557.890647814962,112119.67806768665,6998999.859539099,2.0068766070441894e-08,97.89999976259392,-1.0734331749838417e-09,179.96642071083716,-179.0397428532753,6998999.859539099,-2.0068762623861427e-08,1.1761684502983393e-11,1.1483429320910052,-2.1514139610985602e-11,0.016173579701046624
5,2026-Jan-01 00:00:20.000,0.001294597148274107,1.2238424573574593,179.74659043836044,620.8728045759499,6997372.657539153,-20743.15068488143,149487.83478014136,6998999.864602225,1.9345464441887094e-08,97.89999969701994,-2.1442544495402796e-09,179.93051439791054,-178.69494392217885,6998999.864602225,-1.934545021553596e-08,2.3461256096720145e-11,1.1483429307641548,-4.297593051032562e-11,0.021564772904526172
6,2026-Jan-01 00:00:25.000,0.0017288380642637303,1.5298018107123987,179.68321988059637,620.8783182948567,6996457.332835486,-25927.807783626762,186851.64666386222,6998999.869646012,1.862501468199983e-08,97.8999996315658,-3.5695031027821875e-09,179.88002318678502,-178.33556009281924,6998999.869646012,-1.8624973848568642e-08,3.9000574912825345e-11,1.1483429294397298,-7.154128427133408e-11,0.026955966102942173
7,2026-Jan-01 00:00:30.000,0.0021735085343133065,1.835760323450204,179.61983720493708,620.8850559596997,6995338.656836841,-31111.711252604524,224210.02774353392,6998999.874670816,1.7907397975618756e-08,97.89999956623174,-5.347950838388154e-09,179.8133029131944,-177.9599472009301,6998999.874670816,-1.7907302908146133e-08,5.83507763088456e-11,1.1483429281177344,-1.0718558290636589e-10,0.032347159296317506
8,2026-Jan-01 00:00:35.000,0.0026318813471094106,2.141717826994059,179.55643998171,620.8930167756779,6994016.662057344,-36294.71042227277,261561.89220168776,6998999.879676834,1.7192622516390145e-08,97.89999950101995,-7.478321890822945e-09,179.72845051634067,-177.5662021857134,6998999.879676834,-1.719242942449679e-08,8.148297234644973e-11,1.1483429267982126,-1.4988325703267453e-10,0.03773835248467591
9,2026-Jan-01 00:00:40.000,0.0031070660667809067,2.44767415253707,179.4930257779505,620.9021998036914,6992491.386920562,-41476.654649374235,298906.1544102595,6998999.884664126,1.648072092097928e-08,97.89999943593423,-9.95926136266264e-09,179.62325268868247,-177.15211173962763,6998999.884664126,-1.6480364634184516e-08,1.0836788972984852e-10,1.1483429254812423,-1.996071512775386e-10,0.04312954566804254
10,2026-Jan-01 00:00:45.000,0.0036019981706988976,2.7536291310036485,179.42959215684942,620.9126039604396,6990762.875758378,-46657.39332131549,336241.72896214307,6998999.889632656,1.5771745555530385e-08,97.89999937097963,-1.2789321007233419e-08,179.49512095141367,-176.71508738386663,6998999.889632656,-1.5771133238398133e-08,1.389756996245628e-10,1.148342924166925,-2.563282393287369e-10,0.048520738846444214
11,2026-Jan-01 00:00:50.000,0.004119382047250332,3.059582593010745,179.36613667719868,620.924228018581,6988831.178809718,-51836.775860545094,373567.53070273757,6998999.894582305,1.5065768318166737e-08,97.89999930616217,-1.5966940404712955e-08,179.3410100011616,-176.25208381505763,6998999.894582305,-1.5064771837436785e-08,1.7327579937239398e-10,1.1483429228553823,-3.200152466591232e-10,0.05391193201990973
