Index,Time,Compute Time,Acc. S,Acc. T,Acc. N,Average Current,Max Current,V_emf,V_float,Magnetic Field North,Magnetic Field East,Magnetic Field T,Magnetic Field N
1,2026-Jan-01 00:00:00.000,0.08504006000003983,0.0,-4.060982403903606e-06,-2.7709371465948115e-05,0.06316076458319843,[0.],[-141.27814764],[-0.5698741],24961.05000035798,4286.402009661504,-4286.397766822769,-29247.452010019064
2,2026-Jan-01 00:00:05.000,0.02309174399999847,-0.0,-2.62242308863012e-07,-4.162708323272128e-08,-0.0006911152291328912,[-0.],[43.33183638],[-0.57091264],24946.746795924064,4267.489218472168,25296.53501168295,4015.4503405506644
3,2026-Jan-01 00:00:10.000,0.023836341999981414,-0.0,-2.610590254647619e-07,-4.142323651131701e-08,-0.0006884836893124155,[-0.],[43.21501899],[-0.57202568],24931.310417651723,4248.507911336506,25278.64537846253,4011.0595844505915
4,2026-Jan-01 00:00:15.000,0.023040901000001668,-0.0,-2.5990716633444333e-07,-4.1226947210159226e-08,-0.0006859613518703907,[-0.],[43.09799972],[-0.57320988],24914.763203273807,4229.454267687589,25259.65110869702,4006.731778473808
5,2026-Jan-01 00:00:20.000,0.024269858000025124,-0.0,-2.587766400426391e-07,-4.103656503316298e-08,-0.0006835208916365545,[-0.],[42.98077307],[-0.57445887],24897.127910901865,4210.324442662332,25239.573821272188,4002.468740436897
6,2026-Jan-01 00:00:25.000,0.02212261900001522,-0.0,-2.5765897037397237e-07,-4.085070000136033e-08,-0.0006811391878896711,[-0.],[42.86333387],[-0.57577457],24878.42769234085,4191.114570630715,25218.435522433156,3998.2723773805437
7,2026-Jan-01 00:00:30.000,0.022344595999982175,-0.0,-2.5654592797283465e-07,-4.0668002647063634e-08,-0.0006787937111523402,[-0.],[42.7456765],[-0.57715151],24858.686065972794,4171.820768827443,25196.258574377447,3994.144512429697
8,2026-Jan-01 00:00:35.000,0.021533652999949027,-0.0,-2.554312590019501e-07,-4.048744067792785e-08,-0.0006764670945931191,[-0.],[42.62779652],[-0.57859788],24837.926889219132,4152.439141034456,25173.065676420585,3990.0872243983226
9,2026-Jan-01 00:00:40.000,0.0223329949999993,-0.0,-2.543099758961843e-07,-4.0308182124240296e-08,-0.000674145270442263,[-0.],[42.50968897],[-0.58010653],24816.174330631606,4132.965781310116,25148.879828166017,3986.102490718527
10,2026-Jan-01 00:00:45.000,0.022049538000032953,-0.0,-2.531781807414058e-07,-4.0129567870662215e-08,-0.0006718170116181013,[-0.],[42.39134891],[-0.58168033],24793.452841658967,4113.396777760373,25123.72430419357,3982.1922911228817
11,2026-Jan-01 00:00:50.000,0.02170132700001659,-0.0,-2.520337026733586e-07,-3.9951213608032844e-08,-0.0006694756349435297,[-0.],[42.27277204],[-0.58331047],24769.78712813973,4093.728216347385,25097.622628653007,3978.358735579946
12,2026-Jan-01 00:00:55.000,0.022183134000044902,-0.0,-2.508757701316895e-07,-3.977295729244752e-08,-0.0006671181508400735,[-0.],[42.1539545],[-0.58500219],24745.20212157001,4073.956184731213,25070.598545477274,3974.6040230268186
13,2026-Jan-01 00:01:00.000,0.02198200899999847,-0.0,-2.4970429318528097e-07,-3.959474287653583e-08,-0.0006647433720572846,[-0.],[42.03489173],[-0.58674007],24719.72295019492,4054.0767761398033,25042.675984115223,3970.9301905982984
14,2026-Jan-01 00:01:05.000,0.02573947500002305,-0.0,-2.485207867890411e-07,-3.941677071973421e-08,-0.0006623543844045136,[-0.],[41.91558032],[-0.58853342],24693.374909973732,4034.0860932629917,25013.879039236926,3967.3395036275692
15,2026-Jan-01 00:01:10.000,0.029924697000012657,-0.0,-2.473282908516562e-07,-3.923948214274631e-08,-0.0006599583595950186,[-0.],[41.79601655],[-0.59038032],24666.183435466522,4013.980252165771,24984.231934817668,3963.834139154426
