Index,Time,Compute Time,Acc. S,Acc. T,Acc. N,Average Current,Max Current,V_emf,V_float,Magnetic Field North,Magnetic Field East,Magnetic Field T,Magnetic Field N
1,2026-Jan-01 00:00:00.000,0.1321278759987763,-0.0,-1.709420318464595e-05,-2.935481542238931e-06,0.045655674696828116,[0.0031302],[-141.27814764],[-0.5698741],24961.05000035798,4286.402009661504,4286.406252500115,-24961.049271761978
2,2026-Jan-01 00:00:05.000,0.0837933709990466,0.0,1.0033042091675602e-06,-3.161378332531432e-06,0.008736679681847062,[-0.01016458],[43.33183807],[-0.57091264],24946.746796287633,4267.489218452881,24123.415665565295,7655.877256987456
3,2026-Jan-01 00:00:10.000,0.07872742700055824,0.0,9.99093433018993e-07,-3.154949107987654e-06,0.008723530243043884,[-0.01015279],[43.21502058],[-0.57202568],24931.31041853154,4248.507911466174,24110.644965119107,7635.237915412107
4,2026-Jan-01 00:00:15.000,0.08419836199936981,0.0,9.950292573704924e-07,-3.148827645810493e-06,0.008711633870437803,[-0.01014248],[43.09800102],[-0.57320988],24914.76320467125,4229.454267957676,24096.724698955146,7614.562872046619
5,2026-Jan-01 00:00:20.000,0.0837995959991531,0.0,9.91072829553792e-07,-3.142897652703358e-06,0.008700660593328538,[-0.01013326],[42.98077419],[-0.57445887],24897.127912809112,4210.3244430640225,24081.678388981618,7593.851209517917
6,2026-Jan-01 00:00:25.000,0.0816066219995264,0.0,9.871903045822805e-07,-3.137057705021326e-06,0.008690320995246695,[-0.0101248],[42.86333463],[-0.57577457],24878.427694741044,4191.1145711550025,24065.52996709165,7573.101961153023
7,2026-Jan-01 00:00:30.000,0.07938009500139742,0.0,9.83349754970302e-07,-3.1312115505630566e-06,0.00868033933795383,[-0.01011678],[42.74567728],[-0.57715151],24858.686068840034,4171.820769465092,24048.303709911263,7552.314233236735
8,2026-Jan-01 00:00:35.000,0.0821858119998069,0.0,9.795249170474558e-07,-3.1252801906709144e-06,0.008670486997442294,[-0.01010892],[42.627797],[-0.57859788],24837.926892518975,4152.439141776134,24030.02423887563,7531.4871189773285
9,2026-Jan-01 00:00:40.000,0.08052247199884732,0.0,9.75696434517589e-07,-3.1192060235686137e-06,0.0086605940523727,[-0.01010104],[42.50968904],[-0.58010653],24816.174334320964,4132.965782146383,24010.71646822395,7510.619776713679
10,2026-Jan-01 00:00:45.000,0.09462548200099263,0.0,9.718477424362653e-07,-3.112939907649581e-06,0.00865051349061943,[-0.01009296],[42.39134881],[-0.58168033],24793.452845686454,4113.396778681738,23990.405587099816,7489.7113987520825
11,2026-Jan-01 00:00:50.000,0.08968144400023448,0.0,9.679704432660682e-07,-3.1064585211690924e-06,0.008640169532188139,[-0.0100846],[42.27277183],[-0.58331047],24769.78713244595,4093.7282173443923,23969.117037933673,7468.76119085384
12,2026-Jan-01 00:00:55.000,0.08024195799953304,0.0,9.640596043612962e-07,-3.0997494771236316e-06,0.00862951647854798,[-0.0100759],[42.15395393],[-0.58500219],24745.20212608761,4073.956185794431,23946.876473935048,7447.768417908785
13,2026-Jan-01 00:01:00.000,0.08179929799916863,0.0,9.601156684562636e-07,-3.092817607069769e-06,0.008618556346339935,[-0.01006686],[42.03489099],[-0.58674007],24719.722954848927,4054.076777259908,23923.70974738481,7426.732350319889
14,2026-Jan-01 00:01:05.000,0.08632846399996197,0.0,9.561419420228988e-07,-3.0856769819559705e-06,0.008607316854195867,[-0.01005752],[41.91557929],[-0.58853342],24693.37491468164,4034.0860944307938,23899.642859875075,7405.652332153519
15,2026-Jan-01 00:01:10.000,0.07973638499970548,0.0,9.521491207932498e-07,-3.078365656697005e-06,0.008595892735325251,[-0.01004798],[41.79601511],[-0.59038032],24666.183440138735,4013.9802533723037,23874.70195733758,7384.527704961116
16,2026-Jan-01 00:01:15.000,0.079407375998926,0.0,9.481478232044565e-07,-3.0709216230348697e-06,0.00858437892023849,[-0.01003836],[41.67619557],[-0.59228485],24638.174075231116,3993.7553874530768,23848.91325331162,7363.3579630640315
17,2026-Jan-01 00:01:20.000,0.08187953800006653,0.0,9.441535704132765e-07,-3.0633990781493184e-06,0.008572916081561606,[-0.01002883],[41.55611716],[-0.59423479],24609.372444303197,3973.4076512838624,23822.303084151208,7342.142482446832
18,2026-Jan-01 00:01:25.000,0.08333136499823013,0.0,9.401821083196058e-07,-3.05585322876519e-06,0.008561648396401658,[-0.01001955],[41.43577716],[-0.59623327],24579.804222973307,3952.933224662122,23794.89779911637,7320.8807836175665
19,2026-Jan-01 00:01:30.000,0.08547059500051546,0.0,9.362510198449333e-07,-3.048345564186002e-06,0.008550738407772854,[-0.01001071],[41.3151733],[-0.59828624],24549.495109185744,3932.3283165182597,23766.72375191186,7299.572467284272
20,2026-Jan-01 00:01:35.000,0.07951998099997581,0.0,9.3237617248419e-07,-3.040932358611469e-06,0.008540334888703946,[-0.01000249],[41.19430319],[-0.60038372],24518.470794420668,3911.5891688592174,23737.80730490731,7278.217108460365
21,2026-Jan-01 00:01:40.000,0.07760179399883782,0.0,9.285765161203986e-07,-3.0336802277667624e-06,0.00853061657248458,[-0.0099951],[41.073165],[-0.60253154],24486.756935105477,3890.712060704929,23708.174760793325,7256.814387176601
22,2026-Jan-01 00:01:45.000,0.08073639100075525,0.0,9.248660718947158e-07,-3.02664004169963e-06,0.00852171893051907,[-0.0099887],[40.95175687],[-0.6047221],24454.379124272033,3869.693312013774,23677.852370529294,7235.363971639313
23,2026-Jan-01 00:01:50.000,0.08161203300005582,0.0,9.212599983233289e-07,-3.0198665967914422e-06,0.00851378942049334,[-0.00998347],[40.83007771],[-0.6069574],24421.36286350097,3848.5292875924474,23646.866259282015,7213.8656699353005
24,2026-Jan-01 00:01:55.000,0.0801091119992634,0.0,9.177687332088455e-07,-3.013399449325184e-06,0.008506933487349237,[-0.00997952],[40.70812668],[-0.60923027],24387.733535195744,3827.2164009866124,23615.24242788894,7192.319336328579
25,2026-Jan-01 00:02:00.000,0.08646490600040124,0.0,9.144002030639696e-07,-3.0072700747618317e-06,0.008501234547351315,[-0.00997697],[40.58590293],[-0.61154886],24353.5163752245,3805.751118348003,23583.006742621015,7170.724816266946
26,2026-Jan-01 00:02:05.000,0.08086113799981831,0.0,9.111622464392492e-07,-3.0015097147734697e-06,0.008496776089026227,[-0.0099759],[40.46340633],[-0.61390651],24318.73644596932,3784.129962274256,23550.18486482173,7149.082090214077
27,2026-Jan-01 00:02:10.000,0.08728368800075259,0.0,9.080555386246468e-07,-2.996126077879242e-06,0.008493575628947671,[-0.00997635],[40.34063693],[-0.61630486],24283.418609818083,3762.3495156174845,23516.802257523454,7127.391166329102
28,2026-Jan-01 00:02:15.000,0.07187845699991158,0.0,9.050793263088934e-07,-2.9911220753549735e-06,0.00849163744709418,[-0.00997832],[40.21759525],[-0.61873753],24247.587503136485,3740.4064252580683,23482.88414329739,7105.652134803986
29,2026-Jan-01 00:02:20.000,0.07346497700018517,0.0,9.022302407842345e-07,-2.9864918740723566e-06,0.008490941262535103,[-0.00998179],[40.09428204],[-0.62120742],24211.26751075075,3718.2974058397203,23448.455491028348,7083.865128633646
30,2026-Jan-01 00:02:25.000,0.06708160700145527,0.0,8.995006607845179e-07,-2.9822153667063544e-06,0.008491426309450772,[-0.00998669],[39.9706987],[-0.62370901],24174.48274097507,3696.0192434625287,23413.54096886498,7062.030397911622
31,2026-Jan-01 00:02:30.000,0.07075039200026367,0.0,8.968800848027427e-07,-2.9782626615124747e-06,0.008493003815154665,[-0.00999292],[39.84684679],[-0.62624499],24137.257001212798,3673.568799330274,23378.16494872443,7040.148215502398
32,2026-Jan-01 00:02:35.000,0.0706969430011668,0.0,8.943560635579397e-07,-2.974597074282997e-06,0.008495565323000281,[-0.01000035],[39.72272841],[-0.62881317],24099.61377415973,3650.9430133488577,23342.35145976523,7018.218953494278
33,2026-Jan-01 00:02:40.000,0.0746208430009574,0.0,8.919128880241292e-07,-2.9711707122757407e-06,0.008498969886730393,[-0.01000882],[39.59834618],[-0.63141191],24061.57619463594,3628.1389076723995,23306.124168566887,6996.243073463056
34,2026-Jan-01 00:02:45.000,0.0768388579999737,0.0,8.895341945839307e-07,-2.9679331053832868e-06,0.008503068516199046,[-0.01001816],[39.47370291],[-0.63403761],24023.167027070434,3605.1535901939196,23269.50637274163,6974.221073951478
35,2026-Jan-01 00:02:50.000,0.08605564200115623,0.0,8.872011920408832e-07,-2.9648252179886876e-06,0.008507686916966298,[-0.01002816],[39.3488022],[-0.63669002],23984.408643661194,3581.9842579774413,23232.52094977887,6952.153589256624
36,2026-Jan-01 00:02:55.000,0.07604992100095842,0.0,8.848943895089661e-07,-2.9617852222718067e-06,0.008512641844486933,[-0.0100386],[39.22364773],[-0.6393688],23945.323003231264,3558.6282006285737,23195.19037199132,6930.041270184944
37,2026-Jan-01 00:03:00.000,0.07072147300095821,0.0,8.825937135377791e-07,-2.9587488180671566e-06,0.00851774194124868,[-0.01004927],[39.0982439],[-0.64207215],23905.931630799856,3535.082803600758,23157.536652907886,6907.884895828725
38,2026-Jan-01 00:03:05.000,0.07358836400089785,0.0,8.802791075229645e-07,-2.9556512572981306e-06,0.008522793479216088,[-0.01005994],[38.97259549],[-0.64479876],23866.255597884436,3511.3455514341754,23119.58134779683,6885.685307050531
39,2026-Jan-01 00:03:10.000,0.07575831099893549,0.0,8.779292520310565e-07,-2.9524230200579226e-06,0.00852758783611224,[-0.01007036],[38.84670779],[-0.64754724],23826.315503549307,3487.4140309248432,23081.345524660064,6863.443441088477
40,2026-Jan-01 00:03:15.000,0.0696163369993883,0.0,8.755270168749797e-07,-2.949008118619156e-06,0.00853195431624764,[-0.01008032],[38.7205869],[-0.65031338],23786.131456213458,3463.2859342211914,23042.849733370596,6841.160375239304
41,2026-Jan-01 00:03:20.000,0.08973162099937326,0.0,8.730517359508034e-07,-2.945338209866887e-06,0.008535685416123009,[-0.01008959],[38.59423888],[-0.65309633],23745.723056227936,3438.959061845513,23004.114032470894,6818.83717896242
