Index,Time,Compute Time,Acc. S,Acc. T,Acc. N,Average Current,Max Current,V_emf,V_float,Magnetic Field North,Magnetic Field East,Magnetic Field T,Magnetic Field N
1,2026-Jan-01 00:00:00.000,0.042656876999899396,-0.0,2.5517906343787314e-05,4.382031865401677e-06,0.051115452050838464,[0.],[-188.37086352],[-0.5698741],24961.05000035798,4286.402009661504,4286.406252500115,-24961.049271761978
2,2026-Jan-01 00:00:05.000,0.022634064999692782,-0.0,7.239832829425408e-08,-2.2812473066036516e-07,-0.000472828421517539,[-0.],[57.77578662],[-0.57091264],24946.74679632547,4267.4892184344035,24123.415628041217,7655.8773753375735
3,2026-Jan-01 00:00:10.000,0.023075953999978083,-0.0,7.191028849292087e-08,-2.2707915761860955e-07,-0.0004709105841911472,[-0.],[57.62003027],[-0.57202568],24931.31041803876,4248.507910873123,24110.644912414617,7635.23807990391
4,2026-Jan-01 00:00:15.000,0.022921915000551962,-0.0,7.143486768331224e-08,-2.260597635715011e-07,-0.0004690674087415877,[-0.],[57.46400466],[-0.57320988],24914.763203520855,4229.454266771112,24096.724624076247,7614.563104582071
5,2026-Jan-01 00:00:20.000,0.022676542000226618,-0.0,7.096912598851147e-08,-2.2505782070361808e-07,-0.0004672801825643528,[-0.],[57.30770237],[-0.57445887],24897.127910883537,4210.324441264884,24081.678305780024,7593.851466056743
6,2026-Jan-01 00:00:25.000,0.022914268000022275,-0.0,7.051058817621433e-08,-2.2406599164528832e-07,-0.00046553305253712354,[-0.],[57.15111651],[-0.57577457],24878.42769193214,4191.1145687240405,24065.529872062132,7573.10225256149
7,2026-Jan-01 00:00:30.000,0.023149851999733073,-0.0,7.005687325596436e-08,-2.2307716946724117e-07,-0.0004638106146316058,[-0.],[56.99424035],[-0.57715151],24858.686065048947,4171.820766382879,24048.303599565774,7552.314570421047
8,2026-Jan-01 00:00:35.000,0.022794900000008056,-0.0,6.960615086212682e-08,-2.2208594065087257e-07,-0.00046210095248458514,[-0.],[56.83706687],[-0.57859788],24837.926887655965,4152.439138022935,24030.02411667621,7531.487490760879
9,2026-Jan-01 00:00:40.000,0.02466284199999791,-0.0,6.915696121573264e-08,-2.210880233379229e-07,-0.00046039447627422187,[-0.],[56.67959005],[-0.58010653],24816.174328305642,4132.965777702225,24010.71632386806,7510.620215884293
10,2026-Jan-01 00:00:45.000,0.022943607999877713,-0.0,6.870814599143362e-08,-2.200800654051993e-07,-0.00045868350586937567,[-0.],[56.52180331],[-0.58168033],24793.452838447374,4113.396773526299,23990.40543087175,7489.711872373322
11,2026-Jan-01 00:00:50.000,0.02380976299991744,-0.0,6.825903247563636e-08,-2.1906023884078853e-07,-0.0004569635170384184,[-0.],[56.36370105],[-0.58331047],24769.787123920632,4093.728211456978,23969.116863039577,7468.761720631802
12,2026-Jan-01 00:00:55.000,0.023004366000350274,-0.0,6.780932347868345e-08,-2.1802790596752404e-07,-0.00045523245582081563,[-0.],[56.20527757],[-0.58500219],24745.20211622239,4073.956179153953,23946.876280427394,7447.7690036861
13,2026-Jan-01 00:01:00.000,0.02316628500011575,-0.0,6.735892028802163e-08,-2.1698306012763088e-07,-0.00045348958052561587,[-0.],[56.04652712],[-0.58674007],24719.722943598812,4054.0767698448494,23923.70954544724,7426.732959327251
14,2026-Jan-01 00:01:05.000,0.022837346000414982,-0.0,6.690814474480222e-08,-2.1592704280621175e-07,-0.00045173696952965616,[-0.],[55.88744515],[-0.58853342],24693.374902010255,4034.086086219152,23899.64264282296,7405.65298590309
15,2026-Jan-01 00:01:10.000,0.023178618000201823,-0.0,6.645773245303628e-08,-2.1486254033616452e-07,-0.000449979528331729,[-0.],[55.72802679],[-0.59038032],24666.18342601807,4013.9802443415847,23874.70171507068,7384.528436151771
