Index,Time,Distance,Latitude,Longitude,Altitude,x,y,z,"Semi-Major Axis, a","Eccentricity, e","Inclination, i",RAAN,Arg. Peri.,True Anomaly,"Semi-Major Axis, a",f,g,h,k,L
1,2026-Jan-01 00:00:00.000,0.0,0.0,-180.0,620.862999999999,6998999.999999999,0.0,0.0,6999000.0,0.0,97.9,0.0,0.0,0.0,6999000.0,0.0,0.0,1.1483429368947748,0.0,0.0
2,2026-Jan-01 00:00:05.000,1.4250569758979358e-05,0.30596103662070523,179.93665366251273,620.8636128789634,6998898.287401893,-5186.164690922044,37374.674646157015,6999000.030770558,4.396422046715138e-09,97.9000000216283,0.0,0.0,0.30889262141482354,6999000.030770558,4.396422046715138e-09,0.0,1.1483429373324106,0.0,0.005391193278805016
3,2026-Jan-01 00:00:10.000,8.713943130665893e-05,0.6119219059135047,179.87330490349063,620.8654514435492,6998593.152562946,-10372.17865611025,74748.26308374885,6999000.030985089,4.427073265202578e-09,97.90000001886146,-1.5059642078514256e-11,0.0021386648493300626,0.615646578657219,6999000.030985089,4.427073262118489e-09,1.652482257731922e-13,1.1483429372764251,-3.0183084628116563e-13,0.010782386569161358
4,2026-Jan-01 00:00:15.000,0.00017061352961629506,0.9178824391697125,179.80995130102286,620.8685154768388,6998084.604351871,-15557.891153301014,112119.67897178193,6999000.031198397,4.457548418171658e-09,97.90000001610453,-4.507182127899773e-11,0.00634784813704922,0.9203300174637855,6999000.031198397,4.457548390814318e-09,4.938555754676539e-13,1.1483429372206404,-9.033459021460761e-13,0.016173579859301415
5,2026-Jan-01 00:00:20.000,0.00025480056753235955,1.2238424682720015,179.7465904320114,620.8728046173164,6997372.65754956,-20743.151460313074,149487.8361139894,6999000.031410518,4.487851819172088e-09,97.90000001335729,-8.993409506218138e-11,0.012562737843134898,1.223007749854453,6999000.031410518,4.487851711294349e-09,9.840114840372204e-13,1.1483429371650518,-1.802491976767775e-12,0.021564773149225353
6,2026-Jan-01 00:00:25.000,0.0003394523259233295,1.529801824988258,179.68321987171578,620.8783183589308,6996457.332848676,-25927.808868107888,186851.64840881966,6999000.031621479,4.517986576011411e-09,97.90000001061962,-1.4954639417453375e-10,0.020721368455666675,1.5237417413410492,6999000.031621479,4.5179862805460786e-09,1.63395738042884e-12,1.1483429371096565,-2.997263445579466e-12,0.026955966438933304
7,2026-Jan-01 00:00:30.000,0.00042453757000617193,1.8357603409332335,179.6198371932044,620.885056051136,6995338.656853026,-31111.712685170052,224210.02988100337,6999000.031831301,4.547954784938844e-09,97.90000000789145,-2.2380919052534984e-10,0.030764228383658446,1.822591503514467,6999000.031831301,4.547954129347947e-09,2.4419654140437017e-12,1.1483429370544538,-4.485665530198034e-12,0.03234715972842538
8,2026-Jan-01 00:00:35.000,0.0005100623636092014,2.1417178475301273,179.5564399668048,620.8930168989934,6994016.662076806,-36294.71224188719,261561.89471311797,6999000.032039995,4.577757562271958e-09,97.90000000517286,-3.1262164459692196e-10,0.04263389118799089,2.119614462813734,6999000.032039995,4.577756294948579e-09,3.40631718447826e-12,1.1483429369994447,-6.2656771681421376e-12,0.03773835301770173
9,2026-Jan-01 00:00:40.000,0.0005960430721617795,2.447674175972067,179.49302575955244,620.9021999632586,6992491.386943657,-41476.65689492917,298906.15727714624,6999000.03224757,4.607395279752352e-09,97.90000000246394,-4.158805215841345e-10,0.056274772463294334,2.414866203644127,6999000.03224757,4.6073930574268675e-09,4.525291035690299e-12,1.1483429369446312,-8.335229289706163e-12,0.043129546306762544
10,2026-Jan-01 00:00:45.000,0.0006824991302360199,2.753629157183487,179.42959213463837,620.9126041604969,6990762.875785537,-46657.396031626566,336241.73216603004,6999000.03245403,4.636867711770931e-09,97.89999999976484,-5.334793340904785e-10,0.07163293142617924,2.7084006667889424,6999000.03245403,4.6368640878824005e-09,5.797151913259424e-12,1.1483429368900167,-1.0692187635560693e-11,0.048520739595608056
11,2026-Jan-01 00:00:50.000,0.000769452413936673,3.0595826217813777,179.36613665085468,620.9242282632162,6988831.178841437,-51836.77907434835,373567.5342252175,6999000.032659373,4.666174165166526e-09,97.8999999970758,-6.653077659044812e-10,0.0886559208899715,3.0002702994347628,6999000.032659373,4.666168579164592e-09,7.220144362806694e-12,1.1483429368356053,-1.3334341207869301e-11,0.05391193288423859
12,2026-Jan-01 00:00:55.000,0.000856923815502464,3.3655344000363776,179.30265686203776,620.937070900024,6986696.352255924,-57014.65548487819,410882.4785842031,6999000.032863599,4.695313679170143e-09,97.89999999439699,-8.112517650119843e-10,0.10729273126907103,3.2905261111670954,6999000.032863599,4.69530544670654e-09,8.792492830143281e-12,1.1483429367814015,-1.625940413447463e-11,0.05930312617265451
13,2026-Jan-01 00:01:00.000,0.0009449349726521641,3.67148432183371,179.23915031650972,620.9511305557853,6984358.4580775015,-62190.874768789945,448185.48068805906,6999000.033066704,4.724285189279261e-09,97.8999999917287,-9.71193946159958e-10,0.12749377523734512,3.5792176893119803,6999000.033066704,4.72427349324524e-09,1.0512405233898753e-11,1.14834293672741,-1.946502373722938e-11,0.06469431946085627
14,2026-Jan-01 00:01:05.000,0.0010335067441388586,3.9774322166339267,179.17561455651656,620.9664055718314,6981817.564256824,-67365.28647982194,485475.45632895845,6999000.033268684,4.753087603450283e-09,97.89999998907112,-1.1450138753869734e-09,0.1492108581934911,3.866393228470628,6999000.033268684,4.753071485820992e-09,1.2378075301924013e-11,1.1483429366736355,-2.2948786234659988e-11,0.07008551274884434
15,2026-Jan-01 00:01:10.000,0.0011226599514530503,4.28337791343345,179.11204711766402,620.9828941461258,6979073.744644691,-72537.74022424937,522751.3216776865,6999000.033469536,4.781719990115871e-09,97.89999998642448,-1.3325892852335043e-09,0.17239726348410792,4.152099445296347,6999000.033469536,4.781698344533158e-09,1.4387694831917428e-11,1.1483429366200824,-2.670824109765525e-11,0.07547670603661924
16,2026-Jan-01 00:01:15.000,0.0012124145436645374,4.589321240724885,179.04844552834962,621.0005943335276,6976127.078989932,-77708.0856652557,560011.9933151428,6999000.033669261,4.810181751085175e-09,97.89999998378896,-1.5337976697084149e-09,0.19700787729068173,4.436381453607556,6999000.033669261,4.8101533161020754e-09,1.6539469914420184e-11,1.1483429365667541,-3.074093301636716e-11,0.08086789932418147
17,2026-Jan-01 00:01:20.000,0.0013027901166109178,4.895262026457091,178.9848073091918,621.0195040460052,6972977.652937074,-82876.17252730198,597256.3882638304,6999000.033867861,4.838472640897754e-09,97.89999998116471,-1.7485171662944297e-09,0.22299921890782837,4.719282734109547,6999000.033867861,4.83843599383618e-09,1.8831629419240672e-11,1.148342936513654,-3.5044419577686623e-11,0.08625909261153152
18,2026-Jan-01 00:01:25.000,0.0013938054207657034,5.201200097994998,178.92112997245508,621.0396210529032,6969625.558023852,-88041.85060049474,634483.4240193334,6999000.03406534,4.866592844226313e-09,97.89999997855182,-1.9766279661309825e-09,0.2503295311797359,5.000845043958036,6999000.03406534,4.866546395562301e-09,2.12624390495236e-11,1.1483429364607838,-3.961629952864305e-11,0.09165028589866983
19,2026-Jan-01 00:01:30.000,0.0014854791052929788,5.507135282079118,178.8574110214711,621.0609429812059,6966070.891678546,-93204.96974495145,671692.0185817778,6999000.034261706,4.894543040520948e-09,97.89999997595034,-2.218013823075879e-09,0.27895887635622346,5.28110832090311,6999000.034261706,4.89448502871352e-09,2.383021634928428e-11,1.1483429364081446,-4.445424302156924e-11,0.09704147918559676
20,2026-Jan-01 00:01:35.000,0.0015778291428241074,5.813067404784773,178.7936479500557,621.0834673158462,6962313.757217158,-98365.37989516484,708881.0904872816,6999000.034456973,4.9223244666069505e-09,97.8999999733603,-2.4725637248527845e-09,0.3088492441242469,5.560110575257713,6999000.034456973,4.922252953276446e-09,2.6533347295528738e-11,1.1483429363557365,-4.955602510784963e-11,0.10243267247231255
21,2026-Jan-01 00:01:40.000,0.0016708723593470863,6.118996291480991,178.72983824192082,621.1071914000092,6958354.26384041,-103522.93106436418,746049.5588393873,6999000.034651154,4.94993879728815e-09,97.89999997078162,-2.7401719673225362e-09,0.3399644689276249,5.837887972577933,6999000.034651154,4.949851662747388e-09,2.937028592601538e-11,1.1483429363035584,-5.4919527226492916e-11,0.10782386575881736
22,2026-Jan-01 00:01:45.000,0.0017646260132308364,6.424921766789054,178.6659793700823,621.1321124354396,6954192.526630548,-108677.47334887428,783196.3433404763,6999000.034844269,4.9773882954210336e-09,97.89999996821422,-3.0207406884708504e-09,0.3722704321777074,6.11447463145232,6999000.034844269,4.977283234352442e-09,3.233957990453377e-11,1.1483429362516084,-6.054278799123906e-11,0.11321505904511117
23,2026-Jan-01 00:01:50.000,0.0018591063804096048,6.730843654540679,178.60206879626176,621.1582274828208,6949828.666548033,-113828.85693247318,820320.3643231704,6999000.035036339,5.004675609039466e-09,97.89999996565791,-3.314179000494343e-09,0.4057348680334993,6.389902817721767,6999000.035036339,5.004550126438002e-09,3.543986010028767e-11,1.1483429361998834,-6.642398579551027e-11,0.11860625233119382
24,2026-Jan-01 00:01:55.000,0.001954328728363083,7.036761777735821,178.53810397028337,621.1855334621063,6945262.8104279945,-118976.93209074574,857420.5427817096,6999000.03522739,5.03180383876968e-09,97.89999996311255,-3.6204046548512007e-09,0.4403274633916282,6.664202844489549,6999000.03522739,5.03165524594319e-09,3.866985686109345e-11,1.1483429361483795,-7.256147218396453e-11,0.123997445617065
25,2026-Jan-01 00:02:00.000,0.0020503085763131463,7.342675958500058,178.47408232946492,621.2140271529146,6940495.09097656,-124121.54919543586,894495.8004033149,6999000.035417448,5.058776359664133e-09,97.8999999605779,-3.939342980325956e-09,0.47601964965604776,6.9374032803516075,6999000.035417448,5.058601770423774e-09,4.202838757499895e-11,1.1483429360970923,-7.895375056880201e-11,0.1293886389027242
