Index,Time,Compute Time,Acc. S,Acc. T,Acc. N,Average Current,Max Current,V_emf,V_float,Magnetic Field North,Magnetic Field East,Magnetic Field T,Magnetic Field N
1,2026-Jan-01 00:00:00.000,0.04824461499993049,-0.0,2.7349729065590995e-05,4.696599425552037e-06,0.0547848144679785,[0.],[-188.37086352],[-0.5698741],24961.05000035798,4286.402009661504,4286.406252500115,-24961.049271761978
2,2026-Jan-01 00:00:05.000,0.02272544100014784,-0.0,6.03048924623932e-08,-1.9001871475605668e-07,-0.0003938470359227875,[-0.],[57.77578691],[-0.57091264],24946.74679632714,4267.489218433615,24123.41561881264,7655.8774044215215
3,2026-Jan-01 00:00:10.000,0.02255887600040296,-0.0,5.987404136924395e-08,-1.8907095451670254e-07,-0.00039209020578695014,[-0.],[57.62003031],[-0.57202568],24931.31041801633,4248.507910847711,24110.64491361433,7635.238076028055
4,2026-Jan-01 00:00:15.000,0.021906891000071482,-0.0,5.945390086241618e-08,-1.881453023681281e-07,-0.0003903960087816548,[-0.],[57.4640047],[-0.57320988],24914.76320346712,4229.454266720005,24096.72462524536,7614.563100678142
5,2026-Jan-01 00:00:20.000,0.022058299000491388,-0.0,5.904201088995219e-08,-1.8723446460861176e-07,-0.0003887487869877347,[-0.],[57.30770241],[-0.57445887],24897.12791079147,4210.324441186995,24081.678306885515,7593.851462205977
6,2026-Jan-01 00:00:25.000,0.02214415399976133,-0.0,5.8636304278448285e-08,-1.8633232213523514e-07,-0.00038713529926647395,[-0.],[57.15111672],[-0.57577457],24878.427691794954,4191.1145686182945,24065.529866210727,7573.102270646675
7,2026-Jan-01 00:00:30.000,0.021470077000230958,-0.0,5.823479309317142e-08,-1.8543295169311194e-07,-0.0003855426869180141,[-0.],[56.99424047],[-0.57715151],24858.686064860023,4171.820766248174,24048.30359712469,7552.314577497755
8,2026-Jan-01 00:00:35.000,0.021952558000521094,-0.0,5.783595435755875e-08,-1.8453185722551684e-07,-0.0003839610321971585,[-0.],[56.83706707],[-0.57859788],24837.92688740901,4152.439137858193,24030.024110723087,7531.487508849702
9,2026-Jan-01 00:00:40.000,0.02137800899981812,-0.0,5.743857086462279e-08,-1.8362547890637316e-07,-0.0003823823421114389,[-0.],[56.67959001],[-0.58010653],24816.174327994428,4132.965777506336,24010.71632811677,7510.620201165471
10,2026-Jan-01 00:00:45.000,0.022213891000319563,-0.0,5.704168174458141e-08,-1.827110426917286e-07,-0.0003808002396845175,[-0.],[56.52180359],[-0.58168033],24793.452838066016,4113.396773298176,23990.405421369964,7489.711901420922
11,2026-Jan-01 00:00:50.000,0.022042978999706975,-0.0,5.6644725893849375e-08,-1.8178703506647581e-07,-0.00037921095753687607,[-0.],[56.36370133],[-0.58331047],24769.787123463437,4093.7282111955155,23969.116853486237,7468.761749631272
12,2026-Jan-01 00:00:55.000,0.021537880999858316,-0.0,5.624745926475061e-08,-1.808529434777038e-07,-0.00037761280715928883,[-0.],[56.20527769],[-0.58500219],24745.202115683842,4073.9561788580468,23946.876277611846,7447.769010787772
13,2026-Jan-01 00:01:00.000,0.02155683399996633,-0.0,5.584979843842524e-08,-1.799087646952126e-07,-0.00037600516007063676,[-0.],[56.04652732],[-0.58674007],24719.72294297363,4054.0767695133754,23923.709539174237,7426.7329772726025
14,2026-Jan-01 00:01:05.000,0.021473611999681452,-0.0,5.545201357703686e-08,-1.789556312304105e-07,-0.0003743897637976511,[-0.],[55.88744535],[-0.58853342],24693.37490129342,4034.0860858510086,23899.64263648135,7405.653003778085
15,2026-Jan-01 00:01:10.000,0.02199331700012408,-0.0,5.5054714998229943e-08,-1.7799577976199213e-07,-0.00037277068821481567,[-0.],[55.7280269],[-0.59038032],24666.18342520466,4013.980243935627,23874.70171198371,7384.528443194505
16,2026-Jan-01 00:01:15.000,0.021469594999871333,-0.0,5.465854615128823e-08,-1.770315640885521e-07,-0.00037115227031828433,[-0.],[55.56826766],[-0.59228485],24638.174058726865,3993.7553771353573,23848.912999607597,7363.358723956531
17,2026-Jan-01 00:01:20.000,0.021344789999602654,-0.0,5.42643058027845e-08,-1.760658541292605e-07,-0.00036953995473081865,[-0.],[55.40816324],[-0.59423495],24609.372426212612,3973.407640060348,23822.30282210091,7342.143265984847
18,2026-Jan-01 00:01:25.000,0.02145682999980636,-0.0,5.387290857810057e-08,-1.751019069271744e-07,-0.0003679400318126475,[-0.],[55.24771053],[-0.59623327],24579.80420328829,3952.93321250745,23794.897508778693,7320.881654640432
19,2026-Jan-01 00:01:30.000,0.021923125999819604,-0.0,5.348535736982347e-08,-1.7414328681828746e-07,-0.0003663594755922329,[-0.],[55.08690552],[-0.59828675],24549.495087906296,3932.3283034064602,23766.723453348484,7299.573360749373
20,2026-Jan-01 00:01:35.000,0.02248074799990718,-0.0,5.310253629763612e-08,-1.7319318431147219e-07,-0.00036480451700645483,[-0.],[54.92574558],[-0.60038372],24518.470771554432,3911.589154763633,23737.806994918283,7278.218034879284
21,2026-Jan-01 00:01:40.000,0.027331615999173664,-0.0,5.2725449774652207e-08,-1.7225519749050357e-07,-0.000363282288837647,[-0.],[54.76422821],[-0.60253154],24486.75691066763,3890.712045598223,23708.174439448856,7256.81534645576
22,2026-Jan-01 00:01:45.000,0.02445532700039621,-0.0,5.2354820259963554e-08,-1.7133201846684758e-07,-0.0003617980597225118,[-0.],[54.60235108],[-0.6047221],24454.379098285124,3869.693295867878,23677.852031358885,7235.3649851132595
23,2026-Jan-01 00:01:50.000,0.02348709600028087,-0.0,5.199146790887284e-08,-1.7042666747206084e-07,-0.0003603578338873987,[-0.],[54.44011265],[-0.6069574],24421.362835994685,3848.529270378565,23646.86589903776,7213.866748505134
24,2026-Jan-01 00:01:55.000,0.024180393000278855,-0.0,5.163587300174169e-08,-1.6954106045089242e-07,-0.0003589653243689423,[-0.],[54.27751165],[-0.60923027],24387.733506206776,3827.216382675172,23615.24205004258,7192.320468908392
25,2026-Jan-01 00:02:00.000,0.021968613999888476,-0.0,5.128847511907671e-08,-1.686769844247309e-07,-0.00035762400665431476,[-0.],[54.11454685],[-0.61154886],24353.516344796233,3805.751098908629,23583.006353901856,7170.725981023554
26,2026-Jan-01 00:02:05.000,0.022604533000048832,-0.0,5.094960160611021e-08,-1.6783585672226643e-07,-0.0003563366073537386,[-0.],[53.95121818],[-0.61390651],24318.736414151565,3784.129941675756,23550.18446864964,7149.083276129986
27,2026-Jan-01 00:02:10.000,0.021742517000348016,-0.0,5.061923365833846e-08,-1.6701795239440973e-07,-0.0003551034565071691,[-0.],[53.7875261],[-0.61630486],24283.418576667227,3762.349493827844,23516.80184096404,7127.392416316359
28,2026-Jan-01 00:02:15.000,0.022080329000345955,-0.0,5.029721733862984e-08,-1.6622309544160623e-07,-0.0003539239419014785,[-0.],[53.62347073],[-0.61873753],24247.58746871483,3740.4064022443986,23482.88371628128,7105.653416438133
29,2026-Jan-01 00:02:20.000,0.02202841999951488,-0.0,4.998331961354092e-08,-1.6545083523657111e-07,-0.0003527968791626772,[-0.],[53.45905347],[-0.62120742],24211.267475126482,3718.2973815682494,23448.45504717185,7083.866463355711
30,2026-Jan-01 00:02:25.000,0.021320889999515202,-0.0,4.967701795627395e-08,-1.646997509329708e-07,-0.0003517190209403727,[-0.],[53.29427589],[-0.62370901],24174.482704222144,3696.0192178985817,23413.54051490046,7062.03176380042
31,2026-Jan-01 00:02:30.000,0.0217305589994794,-0.0,4.937769328192949e-08,-1.639680823708565e-07,-0.0003506863905487765,[-0.],[53.12914038],[-0.62624499],24137.25696341063,3673.568772438246,23378.164478277697,7040.149634073355
32,2026-Jan-01 00:02:35.000,0.021482356000888103,-0.0,4.908457908587726e-08,-1.6325356046328163e-07,-0.0003496939118332148,[-0.],[52.96364957],[-0.62881352],24099.61373539299,3650.9429850922115,23342.350973091117,7018.220424336121
33,2026-Jan-01 00:02:40.000,0.02200265900046361,-0.0,4.879680373404003e-08,-1.6255354289091608e-07,-0.00034873569105088446,[-0.],[52.79780679],[-0.63141191],24061.57615499432,3628.1388780136285,23306.12367221078,6996.24457522474
34,2026-Jan-01 00:02:45.000,0.021903049000684405,-0.0,4.851336896599588e-08,-1.6186493919588102e-07,-0.00034780484851847375,[-0.],[52.63161621],[-0.63403761],24023.166986648426,3605.1535590945314,23269.505857288743,6974.222638448796
35,2026-Jan-01 00:02:50.000,0.02195726499940065,-0.0,4.8233238220714964e-08,-1.611845052855555e-07,-0.0003468941430247514,[-0.],[52.46508204],[-0.63669002],23984.408602557865,3581.9842253979264,23232.52042829313,6952.15517335406
