Index,Time,Distance,Latitude,Longitude,Altitude,x,y,z,"Semi-Major Axis, a","Eccentricity, e","Inclination, i",RAAN,Arg. Peri.,True Anomaly,"Semi-Major Axis, a",f,g,h,k,L
1,2026-Jan-01 00:00:00.000,0.0,0.0,-180.0,620.862999999999,6998999.999999999,0.0,0.0,6999000.0,0.0,97.9,0.0,0.0,0.0,6999000.0,0.0,0.0,1.1483429368947748,0.0,0.0
2,2026-Jan-01 00:00:05.000,0.0002766822704755327,0.30596103694804777,179.93665366487178,620.8636128782994,6998898.287401227,-5186.164402756847,37374.67468613961,6998999.984957056,2.1492989995472358e-09,97.8999995798687,0.0,180.0,-179.69110737858517,6998999.984957056,-2.1492989995472358e-09,0.0,1.14834292839367,0.0,0.005391193278805016
3,2026-Jan-01 00:00:10.000,0.0005550558215690192,0.611921905565092,179.87330490833475,620.8654514408736,6998593.152561605,-10372.178064404812,74748.26304116216,6998999.984453043,2.2213101513822226e-09,97.89999957954123,-1.7823620425109865e-12,-179.98998612660583,180.6077713691033,6998999.984453043,-2.221310117455795e-09,-3.882296165097113e-13,1.1483429283870439,-3.5722750693629057e-14,0.010782386551781343
4,2026-Jan-01 00:00:15.000,0.0008347445608589681,0.917882438128253,179.80995130834154,620.8685154707814,6998084.604349853,-15557.890259390726,112119.67884448131,6998999.983950171,2.2931554300689654e-09,97.89999957921465,-5.337592375946262e-12,-179.97094377799922,180.89762164156807,6998999.983950171,-2.293155135194944e-09,-1.1629203923288577e-12,1.1483429283804356,-1.069779748453496e-13,0.01617357982452938
5,2026-Jan-01 00:00:20.000,0.0011150521238094408,1.2238424665204,179.74659044179427,620.8728046064927,6997372.657546878,-20743.150265537348,149487.8358998397,6998999.983448502,2.3648241107189337e-09,97.89999957888898,-1.0655799874709907e-11,-179.94373820897192,181.17930869360086,6998999.983448502,-2.3648229705986934e-09,-2.3221469305268497e-12,1.1483429283738458,-2.1356743090468077e-13,0.02156477309705047
6,2026-Jan-01 00:00:25.000,0.0013958359274507568,1.5298018225096193,179.6832198839527,620.878318341921,6996457.332845344,-25927.807373810305,186851.64810569523,6998999.982948119,2.4363029219715525e-09,97.89999957856426,-1.772642525803965e-11,-179.9091337392586,181.45359684493644,6998999.982948119,-2.436299858165655e-09,-3.863768773061049e-12,1.1483429283672753,-3.5527948591140123e-13,0.026955966369346017
7,2026-Jan-01 00:00:30.000,0.0016770452017580116,1.8357603377108633,179.61983720788535,620.8850560265192,6995338.65684908,-31111.71089269849,224210.02948678873,6998999.982449119,2.507576480038974e-09,97.89999957824054,-2.653802636121213e-11,-179.86780925157572,181.7211649782914,6998999.982449119,-2.507569806121113e-09,-5.785384548410939e-12,1.1483429283607252,-5.318848118226608e-13,0.032347159641417496
8,2026-Jan-01 00:00:35.000,0.001958656502759105,2.141717843547535,179.5564399839199,620.893016865314,6994016.662072285,-36294.71015259385,261561.89422570748,6998999.981951614,2.5786275968719523e-09,97.89999957791791,-3.707810051537087e-11,-179.82037084483443,181.98261919257692,6998999.981951614,-2.5786149242445946e-09,-8.084294196923328e-12,1.1483429283541968,-7.431328255846548e-13,0.03773835291326646
9,2026-Jan-01 00:00:40.000,0.0022406541558762237,2.447674171212971,179.493025779092,620.9021999190496,6992491.386938614,-41476.654510170585,298906.156694445,6998999.981455726,2.6494376606107234e-09,97.89999957759642,-4.933295811156117e-11,-179.76736215363442,182.23850312239279,6998999.981455726,-2.6494158213171918e-09,-1.075747259225638e-11,1.1483429283476916,-9.887491550568577e-13,0.043129546184894556
10,2026-Jan-01 00:00:45.000,0.002523027983772676,2.7536291516318214,179.42959215659292,620.9126041042609,6990762.875780025,-46657.39335276362,336241.73148595396,6998999.980961583,2.719987146869883e-09,97.89999957727613,-6.328767026520052e-11,-179.70927270874571,182.48930629850906,6998999.980961583,-2.719952131214194e-09,-1.3801559358569886e-11,1.1483429283412108,-1.268434590084236e-12,0.048520739456303516
