Index,Time,Compute Time,Acc. S,Acc. T,Acc. N,Average Current,Max Current,V_emf,V_float,Magnetic Field North,Magnetic Field East,Magnetic Field T,Magnetic Field N
1,2026-Jan-01 00:00:00.000,0.04859639200003585,-0.0,3.3828736789257603e-07,5.809199257168038e-08,0.002710522015396804,[0.],[-47.09271588],[-0.5698741],24961.05000035798,4286.402009661504,4286.406252500115,-24961.049271761978
2,2026-Jan-01 00:00:05.000,0.024055862999375677,-0.0,7.53011318222718e-09,-2.372713702030445e-08,-0.00019671457283290265,[-0.],[14.44394631],[-0.57091264],24946.746796303065,4267.489218445314,24123.415645936147,7655.877318884315
3,2026-Jan-01 00:00:10.000,0.022810137999840663,-0.0,7.492558921963028e-09,-2.3660091249303522e-08,-0.000196262616041136,[-0.],[14.40500718],[-0.57202568],24931.310418358124,4248.507911221786,24110.644937438767,7635.238002119173
4,2026-Jan-01 00:00:15.000,0.022987047999777133,-0.0,7.456241683513005e-09,-2.3595707609208354e-08,-0.0001958416170872512,[-0.],[14.36600078],[-0.57320988],24914.763204295832,4229.454267474558,24096.724649384418,7614.563027419352
5,2026-Jan-01 00:00:20.000,0.023266488999070134,-0.0,7.420859063005018e-09,-2.3533083733985673e-08,-0.00019544388404701195,[-0.],[14.32692523],[-0.57445887],24897.127912226566,4210.324442340125,24081.67832801055,7593.851400558544
6,2026-Jan-01 00:00:25.000,0.023381968001558562,-0.0,7.386157029432942e-09,-2.3471462265518866e-08,-0.00019506291675158076,[-0.],[14.28777881],[-0.57577457],24878.427693954298,4191.114570188089,24065.529887887984,7573.102209723915
7,2026-Jan-01 00:00:30.000,0.02300071600075171,-0.0,7.351887967125971e-09,-2.3410099423628452e-08,-0.00019469231424715605,[-0.],[14.24855977],[-0.57715151],24858.68606785991,4171.820768252748,24048.303616043137,7552.314528238612
8,2026-Jan-01 00:00:35.000,0.02173079800013511,-0.0,7.317863452189381e-09,-2.3348433661235305e-08,-0.00019432717615687573,[-0.],[14.20926642],[-0.57859788],24837.92689136398,4152.43914031565,24030.024130424932,7531.4874603867465
9,2026-Jan-01 00:00:40.000,0.021448367000630242,-0.0,7.283929217689018e-09,-2.3286007612841625e-08,-0.00019396345596649594,[-0.],[14.16989718],[-0.58010653],24816.17433301728,4132.965780434768,24010.71634531394,7510.620164395503
10,2026-Jan-01 00:00:45.000,0.021632711999700405,-0.0,7.249963987872654e-09,-2.322246558662843e-08,-0.000193597941797919,[-0.],[14.13045053],[-0.58168033],24793.452844267616,4113.396776715623,23990.405446426135,7489.7118435693865
11,2026-Jan-01 00:00:50.000,0.02173557899914158,-0.0,7.2158942305562645e-09,-2.3157602236964333e-08,-0.00019322866461829357,[-0.],[14.09092495],[-0.58331047],24769.787130952816,4093.728215120027,23969.116883056828,7468.76168172112
